country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Albania,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",116.65,,total_electricity
Algeria,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",1114,,total_electricity
Armenia,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",20,,total_electricity
Australia,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",4108,,total_electricity
Austria,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",4157,,total_electricity
Azerbaijan,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",344,,total_electricity
Belarus,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",3473,,total_electricity
Belgium,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",12794,,total_electricity
Bosnia and Herzegovina,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",108,,total_electricity
Botswana,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",23,,total_electricity
Brazil,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",22361,,total_electricity
Brunei Darussalam,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",32,,total_electricity
Bulgaria,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",1236,,total_electricity
Cameroon,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",1,,total_electricity
Canada,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",19598,,total_electricity
Chile,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",49,,total_electricity
China,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",462778,,total_electricity
Colombia,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",2328,,total_electricity
Costa Rica,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",373,,total_electricity
CÇïte d'Ivoire,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",88,,total_electricity
Croatia,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",272,,total_electricity
Cyprus,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",38,,total_electricity
Czechia,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",3684,,total_electricity
Denmark,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",1364,,total_electricity
Estonia,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",151,,total_electricity
Finland,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",4721,,total_electricity
France,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",20406,,total_electricity
Gabon,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",2,,total_electricity
Georgia,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",198,,total_electricity
Germany,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",53487,,total_electricity
Greece,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",660,,total_electricity
Hungary,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",3197,,total_electricity
Iceland,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",66,,total_electricity
India,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",40663,1,total_electricity
Indonesia,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",7961,,total_electricity
Ireland,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",1707,,total_electricity
Italy,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",14203,,total_electricity
Japan,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",48854,,total_electricity
Jordan,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",197,,total_electricity
Kazakhstan,Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",3504,,total_electricity
"Korea, Republic of",Electricity - Consumption by chemical and petrochemical,2014,"Kilowatt-hours, million",47716,,total_electricity
