commodity_transaction,year,unit,quantity,quantity_footnotes,category
Electricity - total geothermal production,2014,"Kilowatt-hours, million",6000,,geothermal
Electricity - total geothermal production,2013,"Kilowatt-hours, million",6070,,geothermal
Electricity - total geothermal production,2012,"Kilowatt-hours, million",5817,,geothermal
Electricity - total geothermal production,2011,"Kilowatt-hours, million",6507,,geothermal
Electricity - total geothermal production,2010,"Kilowatt-hours, million",6618,,geothermal
Electricity - total geothermal production,2009,"Kilowatt-hours, million",6740,,geothermal
Electricity - total geothermal production,2008,"Kilowatt-hours, million",7056,,geothermal
Electricity - total geothermal production,2007,"Kilowatt-hours, million",7404,,geothermal
Electricity - total geothermal production,2006,"Kilowatt-hours, million",6685,,geothermal
Electricity - total geothermal production,2005,"Kilowatt-hours, million",7299,,geothermal
Electricity - total geothermal production,2004,"Kilowatt-hours, million",6577,,geothermal
Electricity - total geothermal production,2003,"Kilowatt-hours, million",6282,,geothermal
Electricity - total geothermal production,2002,"Kilowatt-hours, million",5398,,geothermal
Electricity - total geothermal production,2001,"Kilowatt-hours, million",5567,,geothermal
Electricity - total geothermal production,2000,"Kilowatt-hours, million",5901,,geothermal
Electricity - total geothermal production,1999,"Kilowatt-hours, million",5623,,geothermal
Electricity - total geothermal production,1998,"Kilowatt-hours, million",5657,,geothermal
Electricity - total geothermal production,1997,"Kilowatt-hours, million",5466,,geothermal
Electricity - total geothermal production,1996,"Kilowatt-hours, million",5729,,geothermal
Electricity - total geothermal production,1995,"Kilowatt-hours, million",5669,,geothermal
Electricity - total geothermal production,1994,"Kilowatt-hours, million",5598,,geothermal
Electricity - total geothermal production,1993,"Kilowatt-hours, million",5877,,geothermal
Electricity - total geothermal production,1992,"Kilowatt-hours, million",5804,,geothermal
Electricity - total geothermal production,1991,"Kilowatt-hours, million",5435,,geothermal
Electricity - total geothermal production,1990,"Kilowatt-hours, million",5124,,geothermal
Electricity - total hydro production,2014,"Kilowatt-hours, million",38893,,hydro
Electricity - total hydro production,2013,"Kilowatt-hours, million",28002,,hydro
