country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Mexico,Additives and Oxygenates - Imports,2014,"Metric tons,  thousand",454,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2013,"Metric tons,  thousand",464,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2012,"Metric tons,  thousand",441,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2011,"Metric tons,  thousand",334,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2010,"Metric tons,  thousand",363,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2009,"Metric tons,  thousand",457,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2008,"Metric tons,  thousand",429,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2007,"Metric tons,  thousand",507,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2006,"Metric tons,  thousand",423,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2005,"Metric tons,  thousand",348,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2004,"Metric tons,  thousand",275,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2003,"Metric tons,  thousand",336,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2002,"Metric tons,  thousand",391,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2001,"Metric tons,  thousand",295,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,2000,"Metric tons,  thousand",337,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1999,"Metric tons,  thousand",462,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1998,"Metric tons,  thousand",565,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1997,"Metric tons,  thousand",389,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1996,"Metric tons,  thousand",163,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1995,"Metric tons,  thousand",234,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1994,"Metric tons,  thousand",376,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1993,"Metric tons,  thousand",279,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1992,"Metric tons,  thousand",173,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1991,"Metric tons,  thousand",252,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Imports,1990,"Metric tons,  thousand",227,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2014,"Metric tons,  thousand",397,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2013,"Metric tons,  thousand",364,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2012,"Metric tons,  thousand",407,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2011,"Metric tons,  thousand",371,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2010,"Metric tons,  thousand",356,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2009,"Metric tons,  thousand",391,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2008,"Metric tons,  thousand",450,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2007,"Metric tons,  thousand",443,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2006,"Metric tons,  thousand",406,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2005,"Metric tons,  thousand",427,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2004,"Metric tons,  thousand",470,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2003,"Metric tons,  thousand",431,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2002,"Metric tons,  thousand",379,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2001,"Metric tons,  thousand",375,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,2000,"Metric tons,  thousand",210,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,1999,"Metric tons,  thousand",289,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,1998,"Metric tons,  thousand",294,,additives_and_oxygenates
Mexico,Additives and Oxygenates - Production,1997,"Metric tons,  thousand",287,,additives_and_oxygenates
